Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
August 31 2021,Fresno,CA,Passenger,1,0,1,153,154,0.65
August 31 2021,Kern,CA,Passenger,1,1,2,193,195,1.03
August 31 2021,Los Angeles,CA,Passenger,9,7,16,768,784,2.04
August 31 2021,Monterey,CA,Passenger,1,1,2,139,141,1.42
August 31 2021,Orange,CA,Passenger,5,2,7,388,395,1.77
August 31 2021,Placer,CA,Passenger,1,0,1,61,62,1.61
August 31 2021,Riverside,CA,Passenger,6,1,7,476,483,1.45
August 31 2021,Sacramento,CA,Passenger,2,0,2,206,208,0.96
August 31 2021,San Bernardino,CA,Passenger,0,1,1,356,357,0.28
August 31 2021,San Diego,CA,Passenger,17,8,25,2490,2515,0.99
August 31 2021,San Francisco,CA,Passenger,0,1,1,69,70,1.43
August 31 2021,San Luis Obispo,CA,Passenger,1,0,1,50,51,1.96
August 31 2021,Santa Barbara,CA,Passenger,2,0,2,72,74,2.70
August 31 2021,Santa Clara,CA,Passenger,7,2,9,217,226,3.98
August 31 2021,Santa Cruz,CA,Passenger,1,0,1,22,23,4.35
August 31 2021,Sonoma,CA,Passenger,0,1,1,77,78,1.28
August 31 2021,Ventura,CA,Passenger,1,2,3,248,251,1.20
August 31 2021,Arapahoe,CO,Passenger,1,0,1,99,100,1.00
August 31 2021,Boulder,CO,Passenger,0,1,1,28,29,3.45
August 31 2021,Denver,CO,Passenger,1,0,1,104,105,0.95
August 31 2021,El Paso,CO,Passenger,2,0,2,611,613,0.33
August 31 2021,Larimer,CO,Passenger,1,0,1,40,41,2.44
August 31 2021,Las Animas,CO,Passenger,1,0,1,0,1,100.00
August 31 2021,New London,CT,Passenger,0,3,3,221,224,1.34
August 31 2021,District of Columbia,DC,Passenger,4,3,7,196,203,3.45
August 31 2021,Kent,DE,Passenger,0,1,1,63,64,1.56
August 31 2021,New Castle,DE,Passenger,1,0,1,19,20,5.00
August 31 2021,Broward,FL,Passenger,1,0,1,94,95,1.05
August 31 2021,Duval,FL,Passenger,0,1,1,294,295,0.34
August 31 2021,Hillsborough,FL,Passenger,0,1,1,133,134,0.75
August 31 2021,Lake,FL,Passenger,1,0,1,18,19,5.26
August 31 2021,Okaloosa,FL,Passenger,0,1,1,101,102,0.98
August 31 2021,Orange,FL,Passenger,1,0,1,97,98,1.02
August 31 2021,Palm Beach,FL,Passenger,1,0,1,51,52,1.92
August 31 2021,Pinellas,FL,Passenger,0,1,1,75,76,1.32
August 31 2021,Polk,FL,Passenger,1,0,1,53,54,1.85
August 31 2021,Sarasota,FL,Passenger,2,0,2,25,27,7.41
August 31 2021,St. Johns,FL,Passenger,0,1,1,34,35,2.86
August 31 2021,Bartow,GA,Passenger,0,1,1,2,3,33.33
August 31 2021,Bryan,GA,Passenger,1,0,1,46,47,2.13
August 31 2021,Columbia,GA,Passenger,1,0,1,109,110,0.91
August 31 2021,DeKalb,GA,Passenger,1,0,1,51,52,1.92
August 31 2021,Houston,GA,Passenger,1,0,1,44,45,2.22
August 31 2021,Liberty,GA,Passenger,1,0,1,104,105,0.95
August 31 2021,Rockdale,GA,Passenger,1,0,1,7,8,12.50
August 31 2021,Honolulu,HI,Passenger,5,2,7,340,347,2.02
August 31 2021,Champaign,IL,Passenger,1,0,1,10,11,9.09
August 31 2021,Cook,IL,Passenger,1,0,1,167,168,0.60
August 31 2021,DuPage,IL,Passenger,1,0,1,44,45,2.22
August 31 2021,Lake,IL,Passenger,3,0,3,158,161,1.86
August 31 2021,St. Clair,IL,Passenger,2,0,2,126,128,1.56
August 31 2021,Hamilton,IN,Passenger,2,0,2,28,30,6.67
August 31 2021,Howard,IN,Passenger,0,1,1,5,6,16.67
August 31 2021,Vigo,IN,Passenger,1,0,1,4,5,20.00
August 31 2021,Geary,KS,Passenger,1,0,1,88,89,1.12
August 31 2021,Leavenworth,KS,Passenger,0,1,1,111,112,0.89
August 31 2021,Oldham,KY,Passenger,0,1,1,4,5,20.00
August 31 2021,Plaquemines,LA,Passenger,0,1,1,15,16,6.25
August 31 2021,Hampshire,MA,Passenger,1,0,1,4,5,20.00
August 31 2021,Middlesex,MA,Passenger,1,1,2,88,90,2.22
August 31 2021,Suffolk,MA,Passenger,0,2,2,31,33,6.06
August 31 2021,Anne Arundel,MD,Passenger,4,3,7,361,368,1.90
August 31 2021,Baltimore,MD,Passenger,1,0,1,81,82,1.22
August 31 2021,Calvert,MD,Passenger,0,2,2,84,86,2.33
August 31 2021,Carroll,MD,Passenger,0,1,1,13,14,7.14
August 31 2021,Charles,MD,Truck,1,0,1,9,10,10.00
August 31 2021,Charles,MD,Passenger,1,1,2,63,65,3.08
August 31 2021,Frederick,MD,Passenger,2,1,3,69,72,4.17
August 31 2021,Howard,MD,Passenger,0,1,1,57,58,1.72
August 31 2021,Montgomery,MD,Passenger,2,3,5,203,208,2.40
August 31 2021,Prince George's,MD,Passenger,1,0,1,126,127,0.79
August 31 2021,St. Mary's,MD,Passenger,1,0,1,180,181,0.55
August 31 2021,Washington,MD,Passenger,2,0,2,11,13,15.38
August 31 2021,Penobscot,ME,Passenger,0,1,1,9,10,10.00
August 31 2021,Saginaw,MI,Passenger,1,0,1,7,8,12.50
August 31 2021,Hennepin,MN,Passenger,1,0,1,62,63,1.59
August 31 2021,Kanabec,MN,Passenger,1,0,1,0,1,100.00
