Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,Mason,WA,Truck,0,0,0,19191,19191,0.00
January 31 2017,Mason,WA,Passenger,48,59,107,42813,42920,0.25
January 31 2017,Okanogan,WA,Truck,0,0,0,16378,16378,0.00
January 31 2017,Okanogan,WA,Passenger,3,15,18,25814,25832,0.07
January 31 2017,Pacific,WA,Passenger,5,7,12,15033,15045,0.08
January 31 2017,Pacific,WA,Truck,0,0,0,7511,7511,0.00
January 31 2017,Pend Oreille,WA,Passenger,1,4,5,9348,9353,0.05
January 31 2017,Pend Oreille,WA,Truck,0,0,0,5591,5591,0.00
January 31 2017,Pierce,WA,Truck,0,0,0,138793,138793,0.00
January 31 2017,Pierce,WA,Passenger,823,807,1630,528398,530028,0.31
January 31 2017,San Juan,WA,Truck,0,0,0,5598,5598,0.00
January 31 2017,San Juan,WA,Passenger,84,32,116,13347,13463,0.86
January 31 2017,Skagit,WA,Truck,1,0,1,31410,31411,0.00
January 31 2017,Skagit,WA,Passenger,106,98,204,87448,87652,0.23
January 31 2017,Skamania,WA,Passenger,7,7,14,8550,8564,0.16
January 31 2017,Skamania,WA,Truck,0,0,0,3906,3906,0.00
January 31 2017,Snohomish,WA,Passenger,1549,886,2435,514986,517421,0.47
January 31 2017,Snohomish,WA,Truck,1,0,1,122842,122843,0.00
January 31 2017,Spokane,WA,Passenger,222,230,452,296037,296489,0.15
January 31 2017,Spokane,WA,Truck,1,1,2,90448,90450,0.00
January 31 2017,Stevens,WA,Truck,0,0,0,18342,18342,0.00
January 31 2017,Stevens,WA,Passenger,6,23,29,31529,31558,0.09
January 31 2017,Thurston,WA,Truck,0,0,0,53350,53350,0.00
January 31 2017,Thurston,WA,Passenger,336,320,656,184996,185652,0.35
January 31 2017,Wahkiakum,WA,Truck,0,0,0,1624,1624,0.00
January 31 2017,Wahkiakum,WA,Passenger,0,1,1,2861,2862,0.03
January 31 2017,Walla Walla,WA,Passenger,16,21,37,34878,34915,0.11
January 31 2017,Walla Walla,WA,Truck,0,0,0,13170,13170,0.00
January 31 2017,Whatcom,WA,Passenger,385,159,544,141891,142435,0.38
January 31 2017,Whatcom,WA,Truck,2,0,2,41343,41345,0.00
January 31 2017,Whitman,WA,Truck,0,0,0,8406,8406,0.00
January 31 2017,Whitman,WA,Passenger,8,20,28,21947,21975,0.13
January 31 2017,Yakima,WA,Passenger,36,53,89,159944,160033,0.06
January 31 2017,Yakima,WA,Truck,0,0,0,57339,57339,0.00
January 31 2017,Brown,WI,Passenger,1,0,1,46,47,2.13
January 31 2017,Dane,WI,Passenger,1,0,1,191,192,0.52
January 31 2017,Ozaukee,WI,Passenger,0,1,1,4,5,20.00
January 31 2017,,,Passenger,2,0,2,282,284,0.70
February 28 2017,Juneau,AK,Passenger,0,1,1,54,55,1.82
February 28 2017,Dale,AL,Passenger,0,1,1,66,67,1.49
February 28 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
February 28 2017,Maricopa,AZ,Passenger,3,1,4,1801,1805,0.22
February 28 2017,Pima,AZ,Passenger,0,2,2,427,429,0.47
February 28 2017,Pinal,AZ,Passenger,2,1,3,241,244,1.23
February 28 2017,Alameda,CA,Passenger,3,1,4,382,386,1.04
February 28 2017,Contra Costa,CA,Passenger,1,0,1,673,674,0.15
February 28 2017,Los Angeles,CA,Passenger,2,1,3,1374,1377,0.22
February 28 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
February 28 2017,Monterey,CA,Passenger,0,1,1,225,226,0.44
February 28 2017,Orange,CA,Passenger,2,1,3,671,674,0.45
February 28 2017,Riverside,CA,Passenger,0,1,1,828,829,0.12
February 28 2017,San Diego,CA,Passenger,4,1,5,2827,2832,0.18
February 28 2017,San Mateo,CA,Passenger,0,1,1,166,167,0.60
February 28 2017,Santa Clara,CA,Passenger,5,3,8,418,426,1.88
February 28 2017,Tulare,CA,Passenger,1,0,1,201,202,0.50
February 28 2017,Ventura,CA,Passenger,0,2,2,379,381,0.52
February 28 2017,El Paso,CO,Passenger,1,1,2,844,846,0.24
February 28 2017,Larimer,CO,Passenger,0,1,1,87,88,1.14
February 28 2017,New London,CT,Passenger,2,1,3,279,282,1.06
February 28 2017,District of Columbia,DC,Passenger,0,3,3,227,230,1.30
February 28 2017,Duval,FL,Passenger,1,1,2,364,366,0.55
February 28 2017,Manatee,FL,Passenger,1,0,1,54,55,1.82
February 28 2017,Miami-Dade,FL,Passenger,0,1,1,134,135,0.74
February 28 2017,Okaloosa,FL,Passenger,1,0,1,187,188,0.53
February 28 2017,Orange,FL,Passenger,1,1,2,152,154,1.30
February 28 2017,Polk,FL,Passenger,1,0,1,65,66,1.52
February 28 2017,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
February 28 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2017,Volusia,FL,Passenger,0,1,1,46,47,2.13
February 28 2017,Cobb,GA,Passenger,0,1,1,75,76,1.32
February 28 2017,DeKalb,GA,Passenger,1,0,1,83,84,1.19
February 28 2017,Fulton,GA,Passenger,1,1,2,127,129,1.55
February 28 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
February 28 2017,Muscogee,GA,Passenger,0,1,1,259,260,0.38
February 28 2017,Honolulu,HI,Passenger,4,1,5,626,631,0.79
February 28 2017,Maui,HI,Passenger,1,0,1,71,72,1.39
February 28 2017,Canyon,ID,Passenger,0,1,1,104,105,0.95
February 28 2017,Latah,ID,Passenger,0,1,1,129,130,0.77
February 28 2017,Madison,ID,Passenger,1,0,1,43,44,2.27
February 28 2017,Shoshone,ID,Passenger,0,1,1,82,83,1.20
February 28 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
February 28 2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
February 28 2017,Hardin,KY,Passenger,0,1,1,129,130,0.77
February 28 2017,Orleans,LA,Passenger,0,1,1,52,53,1.89
February 28 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
February 28 2017,Middlesex,MA,Passenger,1,0,1,157,158,0.63
February 28 2017,Nantucket,MA,Passenger,1,0,1,2,3,33.33
February 28 2017,Norfolk,MA,Passenger,1,0,1,35,36,2.78
February 28 2017,Anne Arundel,MD,Passenger,0,1,1,514,515,0.19
February 28 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
February 28 2017,Howard,MD,Passenger,0,2,2,89,91,2.20
February 28 2017,Montgomery,MD,Passenger,1,1,2,306,308,0.65
February 28 2017,Wayne,MI,Passenger,0,2,2,71,73,2.74
February 28 2017,Dakota,MN,Passenger,0,1,1,39,40,2.50
February 28 2017,Jackson,MO,Passenger,1,0,1,69,70,1.43
February 28 2017,Cascade,MT,Passenger,0,1,1,56,57,1.75
February 28 2017,Gallatin,MT,Passenger,0,1,1,77,78,1.28
February 28 2017,Glacier,MT,Passenger,0,1,1,3,4,25.00
February 28 2017,Missoula,MT,Passenger,1,0,1,80,81,1.23
February 28 2017,Cumberland,NC,Passenger,1,0,1,639,640,0.16
February 28 2017,Durham,NC,Passenger,0,1,1,37,38,2.63
February 28 2017,Guilford,NC,Passenger,1,0,1,32,33,3.03
February 28 2017,Harnett,NC,Passenger,1,0,1,274,275,0.36
February 28 2017,Moore,NC,Passenger,0,1,1,210,211,0.47
February 28 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
February 28 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
February 28 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
February 28 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
February 28 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
February 28 2017,Clark,NV,Passenger,1,3,4,865,869,0.46
February 28 2017,Jefferson,NY,Passenger,1,1,2,257,259,0.77
February 28 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
February 28 2017,Monroe,NY,Passenger,1,0,1,29,30,3.33
February 28 2017,Nassau,NY,Passenger,0,1,1,38,39,2.56
February 28 2017,Saratoga,NY,Passenger,1,1,2,81,83,2.41
February 28 2017,Franklin,OH,Passenger,0,1,1,117,118,0.85
February 28 2017,Oklahoma,OK,Passenger,0,1,1,185,186,0.54
February 28 2017,Clackamas,OR,Passenger,1,2,3,358,361,0.83
February 28 2017,Deschutes,OR,Passenger,1,0,1,199,200,0.50
February 28 2017,Douglas,OR,Passenger,0,1,1,79,80,1.25
February 28 2017,Lane,OR,Passenger,0,1,1,254,255,0.39
February 28 2017,Marion,OR,Passenger,1,0,1,200,201,0.50
February 28 2017,Multnomah,OR,Passenger,0,3,3,1138,1141,0.26
February 28 2017,Allegheny,PA,Passenger,1,0,1,89,90,1.11
February 28 2017,Northampton,PA,Passenger,2,0,2,232,234,0.85
February 28 2017,Newport,RI,Passenger,1,0,1,119,120,0.83
February 28 2017,Hamilton,TN,Passenger,1,0,1,25,26,3.85
February 28 2017,Montgomery,TN,Passenger,1,0,1,293,294,0.34
February 28 2017,Shelby,TN,Passenger,0,1,1,109,110,0.91
February 28 2017,Bexar,TX,Passenger,1,2,3,1150,1153,0.26
February 28 2017,Dallas,TX,Passenger,1,0,1,202,203,0.49
February 28 2017,Hidalgo,TX,Passenger,0,1,1,95,96,1.04
February 28 2017,Nueces,TX,Passenger,0,1,1,97,98,1.02
February 28 2017,Tarrant,TX,Passenger,0,2,2,303,305,0.66
February 28 2017,Travis,TX,Passenger,0,1,1,198,199,0.50
February 28 2017,Salt Lake,UT,Passenger,0,1,1,327,328,0.30
February 28 2017,Utah,UT,Passenger,0,1,1,162,163,0.61
February 28 2017,Arlington,VA,Passenger,1,1,2,174,176,1.14
February 28 2017,Fairfax,VA,Passenger,2,3,5,884,889,0.56
February 28 2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
February 28 2017,Norfolk,VA,Passenger,1,1,2,304,306,0.65
February 28 2017,Portsmouth,VA,Passenger,0,1,1,61,62,1.61
February 28 2017,Prince William,VA,Passenger,0,3,3,271,274,1.09
February 28 2017,Virginia Beach,VA,Passenger,2,1,3,650,653,0.46
February 28 2017,Adams,WA,Truck,0,0,0,5071,5071,0.00
February 28 2017,Adams,WA,Passenger,2,2,4,12127,12131,0.03
February 28 2017,Asotin,WA,Passenger,4,4,8,12327,12335,0.06
February 28 2017,Asotin,WA,Truck,0,0,0,6479,6479,0.00
February 28 2017,Benton,WA,Truck,0,0,0,39748,39748,0.00
February 28 2017,Benton,WA,Passenger,134,138,272,127658,127930,0.21
February 28 2017,Chelan,WA,Truck,0,0,0,21254,21254,0.00
February 28 2017,Chelan,WA,Passenger,55,29,84,51765,51849,0.16
February 28 2017,Clallam,WA,Passenger,76,68,144,47975,48119,0.30
February 28 2017,Clallam,WA,Truck,0,0,0,21030,21030,0.00
February 28 2017,Clark,WA,Truck,0,0,0,77525,77525,0.00
February 28 2017,Clark,WA,Passenger,696,458,1154,297938,299092,0.39
February 28 2017,Columbia,WA,Passenger,0,1,1,2338,2339,0.04
February 28 2017,Columbia,WA,Truck,0,0,0,1528,1528,0.00
February 28 2017,Cowlitz,WA,Passenger,50,54,104,69059,69163,0.15
February 28 2017,Cowlitz,WA,Truck,0,0,0,27878,27878,0.00
February 28 2017,Douglas,WA,Passenger,30,19,49,26542,26591,0.18
February 28 2017,Douglas,WA,Truck,0,0,0,11389,11389,0.00
February 28 2017,Ferry,WA,Truck,0,0,0,3563,3563,0.00
February 28 2017,Ferry,WA,Passenger,2,1,3,4392,4395,0.07
February 28 2017,Franklin,WA,Passenger,26,43,69,55226,55295,0.12
February 28 2017,Franklin,WA,Truck,0,0,0,17907,17907,0.00
February 28 2017,Garfield,WA,Truck,0,0,0,934,934,0.00
February 28 2017,Garfield,WA,Passenger,0,0,0,1290,1290,0.00
February 28 2017,Grant,WA,Truck,0,0,0,24998,24998,0.00
February 28 2017,Grant,WA,Passenger,17,25,42,60208,60250,0.07
February 28 2017,Grays Harbor,WA,Passenger,27,27,54,44244,44298,0.12
February 28 2017,Grays Harbor,WA,Truck,0,0,0,19819,19819,0.00
February 28 2017,Island,WA,Passenger,100,128,228,59446,59674,0.38
February 28 2017,Island,WA,Truck,0,0,0,20494,20494,0.00
February 28 2017,Jefferson,WA,Passenger,89,59,148,23605,23753,0.62
February 28 2017,Jefferson,WA,Truck,0,0,0,9473,9473,0.00
February 28 2017,King,WA,Truck,8,1,9,190538,190547,0.00
February 28 2017,King,WA,Passenger,9107,4086,13193,1385262,1398455,0.94
February 28 2017,Kitsap,WA,Truck,1,0,1,52366,52367,0.00
February 28 2017,Kitsap,WA,Passenger,562,294,856,172139,172995,0.49
February 28 2017,Kittitas,WA,Passenger,15,15,30,27067,27097,0.11
February 28 2017,Kittitas,WA,Truck,0,0,0,13387,13387,0.00
February 28 2017,Klickitat,WA,Passenger,20,24,44,14770,14814,0.30
February 28 2017,Klickitat,WA,Truck,0,0,0,7937,7937,0.00
February 28 2017,Lewis,WA,Passenger,46,42,88,54963,55051,0.16
February 28 2017,Lewis,WA,Truck,0,0,0,24786,24786,0.00
February 28 2017,Lincoln,WA,Passenger,2,4,6,7509,7515,0.08
February 28 2017,Lincoln,WA,Truck,0,0,0,4462,4462,0.00
February 28 2017,Mason,WA,Passenger,48,62,110,42780,42890,0.26
February 28 2017,Mason,WA,Truck,0,0,0,19198,19198,0.00
February 28 2017,Okanogan,WA,Passenger,3,15,18,25673,25691,0.07
February 28 2017,Okanogan,WA,Truck,0,0,0,16304,16304,0.00
February 28 2017,Pacific,WA,Truck,0,0,0,7488,7488,0.00
February 28 2017,Pacific,WA,Passenger,6,7,13,14995,15008,0.09
February 28 2017,Pend Oreille,WA,Truck,0,0,0,5569,5569,0.00
February 28 2017,Pend Oreille,WA,Passenger,1,4,5,9303,9308,0.05
February 28 2017,Pierce,WA,Passenger,866,834,1700,526856,528556,0.32
February 28 2017,Pierce,WA,Truck,0,0,0,138581,138581,0.00
February 28 2017,San Juan,WA,Passenger,88,32,120,13403,13523,0.89
February 28 2017,San Juan,WA,Truck,0,0,0,5577,5577,0.00
February 28 2017,Skagit,WA,Passenger,113,102,215,87266,87481,0.25
February 28 2017,Skagit,WA,Truck,1,0,1,31411,31412,0.00
February 28 2017,Skamania,WA,Passenger,7,7,14,8544,8558,0.16
February 28 2017,Skamania,WA,Truck,0,0,0,3887,3887,0.00
February 28 2017,Snohomish,WA,Passenger,1604,910,2514,514080,516594,0.49
February 28 2017,Snohomish,WA,Truck,1,0,1,122522,122523,0.00
February 28 2017,Spokane,WA,Passenger,230,230,460,295033,295493,0.16
February 28 2017,Spokane,WA,Truck,1,1,2,90261,90263,0.00
February 28 2017,Stevens,WA,Truck,0,0,0,18332,18332,0.00
February 28 2017,Stevens,WA,Passenger,6,23,29,31320,31349,0.09
February 28 2017,Thurston,WA,Passenger,353,330,683,184932,185615,0.37
February 28 2017,Thurston,WA,Truck,0,0,0,53352,53352,0.00
February 28 2017,Wahkiakum,WA,Truck,0,0,0,1625,1625,0.00
February 28 2017,Wahkiakum,WA,Passenger,0,1,1,2843,2844,0.04
February 28 2017,Walla Walla,WA,Truck,0,0,0,13163,13163,0.00
February 28 2017,Walla Walla,WA,Passenger,17,21,38,34795,34833,0.11
February 28 2017,Whatcom,WA,Passenger,405,164,569,141894,142463,0.40
February 28 2017,Whatcom,WA,Truck,2,0,2,41333,41335,0.00
February 28 2017,Whitman,WA,Truck,0,0,0,8401,8401,0.00
February 28 2017,Whitman,WA,Passenger,8,19,27,21953,21980,0.12
February 28 2017,Yakima,WA,Passenger,36,54,90,159141,159231,0.06
February 28 2017,Yakima,WA,Truck,0,0,0,57225,57225,0.00
February 28 2017,Dane,WI,Passenger,1,0,1,167,168,0.60
February 28 2017,Ozaukee,WI,Passenger,0,1,1,4,5,20.00
February 28 2017,,,Passenger,2,0,2,275,277,0.72
March 31 2017,Juneau,AK,Passenger,0,1,1,52,53,1.89
March 31 2017,Dale,AL,Passenger,0,1,1,66,67,1.49
March 31 2017,Lee,AL,Passenger,1,0,1,35,36,2.78
March 31 2017,Maricopa,AZ,Passenger,3,1,4,1765,1769,0.23
March 31 2017,Pima,AZ,Passenger,0,2,2,433,435,0.46
March 31 2017,Pinal,AZ,Passenger,2,1,3,240,243,1.23
March 31 2017,Alameda,CA,Passenger,3,1,4,378,382,1.05
March 31 2017,Los Angeles,CA,Passenger,2,1,3,1361,1364,0.22
March 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
March 31 2017,Monterey,CA,Passenger,0,1,1,220,221,0.45
March 31 2017,Orange,CA,Passenger,2,1,3,654,657,0.46
March 31 2017,Riverside,CA,Passenger,0,1,1,815,816,0.12
March 31 2017,San Diego,CA,Passenger,5,1,6,2811,2817,0.21
March 31 2017,San Mateo,CA,Passenger,0,1,1,158,159,0.63
March 31 2017,Santa Clara,CA,Passenger,6,2,8,411,419,1.91
March 31 2017,Tulare,CA,Passenger,1,0,1,195,196,0.51
March 31 2017,Ventura,CA,Passenger,0,2,2,378,380,0.53
March 31 2017,El Paso,CO,Passenger,1,1,2,827,829,0.24
March 31 2017,Larimer,CO,Passenger,0,1,1,84,85,1.18
March 31 2017,New London,CT,Passenger,1,1,2,276,278,0.72
March 31 2017,District of Columbia,DC,Passenger,0,3,3,220,223,1.35
March 31 2017,Duval,FL,Passenger,1,1,2,363,365,0.55
March 31 2017,Manatee,FL,Passenger,1,0,1,51,52,1.92
March 31 2017,Miami-Dade,FL,Passenger,0,1,1,132,133,0.75
March 31 2017,Okaloosa,FL,Passenger,1,0,1,190,191,0.52
March 31 2017,Orange,FL,Passenger,1,1,2,150,152,1.32
March 31 2017,Polk,FL,Passenger,1,0,1,66,67,1.49
March 31 2017,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
March 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
March 31 2017,Volusia,FL,Passenger,0,1,1,45,46,2.17
March 31 2017,Cobb,GA,Passenger,0,1,1,74,75,1.33
March 31 2017,DeKalb,GA,Passenger,1,0,1,83,84,1.19
March 31 2017,Fulton,GA,Passenger,1,1,2,121,123,1.63
March 31 2017,Gwinnett,GA,Passenger,0,1,1,83,84,1.19
March 31 2017,Muscogee,GA,Passenger,0,1,1,256,257,0.39
March 31 2017,Honolulu,HI,Passenger,5,1,6,612,618,0.97
March 31 2017,Maui,HI,Passenger,1,0,1,71,72,1.39
March 31 2017,Canyon,ID,Passenger,0,1,1,100,101,0.99
March 31 2017,Latah,ID,Passenger,0,1,1,119,120,0.83
March 31 2017,Madison,ID,Passenger,1,0,1,43,44,2.27
March 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
March 31 2017,Hamilton,IN,Passenger,1,0,1,64,65,1.54
March 31 2017,Hardin,KY,Passenger,0,1,1,127,128,0.78
March 31 2017,Orleans,LA,Passenger,0,1,1,51,52,1.92
March 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20.00
March 31 2017,Middlesex,MA,Passenger,1,0,1,151,152,0.66
March 31 2017,Nantucket,MA,Passenger,1,0,1,2,3,33.33
March 31 2017,Norfolk,MA,Passenger,1,0,1,35,36,2.78
March 31 2017,Anne Arundel,MD,Passenger,0,1,1,510,511,0.20
March 31 2017,Charles,MD,Passenger,0,1,1,91,92,1.09
March 31 2017,Howard,MD,Passenger,0,2,2,90,92,2.17
March 31 2017,Montgomery,MD,Passenger,1,1,2,307,309,0.65
March 31 2017,Wayne,MI,Passenger,0,1,1,72,73,1.37
March 31 2017,Dakota,MN,Passenger,0,1,1,39,40,2.50
March 31 2017,Jackson,MO,Passenger,1,0,1,66,67,1.49
March 31 2017,Cascade,MT,Passenger,0,1,1,57,58,1.72
March 31 2017,Gallatin,MT,Passenger,0,1,1,72,73,1.37
March 31 2017,Glacier,MT,Passenger,0,1,1,3,4,25.00
March 31 2017,Missoula,MT,Passenger,1,0,1,79,80,1.25
March 31 2017,Cumberland,NC,Passenger,1,0,1,638,639,0.16
March 31 2017,Guilford,NC,Passenger,1,0,1,31,32,3.12
March 31 2017,Harnett,NC,Passenger,1,0,1,269,270,0.37
March 31 2017,Moore,NC,Passenger,0,1,1,208,209,0.48
March 31 2017,Carroll,NH,Passenger,0,1,1,0,1,100.00
March 31 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
March 31 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
March 31 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
March 31 2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
March 31 2017,Clark,NV,Passenger,1,3,4,852,856,0.47
March 31 2017,Jefferson,NY,Passenger,1,1,2,261,263,0.76
March 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
March 31 2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
March 31 2017,Nassau,NY,Passenger,0,1,1,39,40,2.50
March 31 2017,Saratoga,NY,Passenger,1,1,2,80,82,2.44
March 31 2017,Franklin,OH,Passenger,0,1,1,116,117,0.85
March 31 2017,Oklahoma,OK,Passenger,0,1,1,166,167,0.60
March 31 2017,Clackamas,OR,Passenger,1,2,3,336,339,0.88
March 31 2017,Deschutes,OR,Passenger,1,0,1,198,199,0.50
March 31 2017,Douglas,OR,Passenger,0,1,1,75,76,1.32
March 31 2017,Lane,OR,Passenger,0,1,1,253,254,0.39
March 31 2017,Marion,OR,Passenger,1,0,1,192,193,0.52
March 31 2017,Multnomah,OR,Passenger,0,3,3,1098,1101,0.27
March 31 2017,Allegheny,PA,Passenger,1,0,1,88,89,1.12
March 31 2017,Montgomery,PA,Passenger,1,0,1,39,40,2.50
March 31 2017,Northampton,PA,Passenger,2,0,2,210,212,0.94
March 31 2017,Newport,RI,Passenger,1,0,1,119,120,0.83
March 31 2017,Hamilton,TN,Passenger,1,0,1,25,26,3.85
March 31 2017,Montgomery,TN,Passenger,1,0,1,286,287,0.35
March 31 2017,Shelby,TN,Passenger,0,1,1,111,112,0.89
March 31 2017,Bexar,TX,Passenger,1,2,3,1079,1082,0.28
March 31 2017,Dallas,TX,Passenger,1,1,2,198,200,1.00
March 31 2017,Hidalgo,TX,Passenger,0,1,1,97,98,1.02
March 31 2017,Nueces,TX,Passenger,0,1,1,98,99,1.01
March 31 2017,Tarrant,TX,Passenger,0,2,2,285,287,0.70
March 31 2017,Travis,TX,Passenger,0,1,1,192,193,0.52
March 31 2017,Salt Lake,UT,Passenger,0,1,1,304,305,0.33
March 31 2017,Utah,UT,Passenger,0,1,1,161,162,0.62
March 31 2017,Albemarle,VA,Passenger,0,1,1,29,30,3.33
March 31 2017,Alexandria,VA,Passenger,1,0,1,183,184,0.54
March 31 2017,Arlington,VA,Passenger,1,1,2,172,174,1.15
March 31 2017,Fairfax,VA,Passenger,2,3,5,874,879,0.57
March 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10.00
March 31 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
March 31 2017,Portsmouth,VA,Passenger,0,1,1,62,63,1.59
March 31 2017,Prince William,VA,Passenger,0,3,3,267,270,1.11
March 31 2017,Virginia Beach,VA,Passenger,2,1,3,650,653,0.46
March 31 2017,Adams,WA,Truck,0,0,0,5071,5071,0.00
March 31 2017,Adams,WA,Passenger,2,4,6,12109,12115,0.05
March 31 2017,Asotin,WA,Passenger,5,3,8,12338,12346,0.06
March 31 2017,Asotin,WA,Truck,0,0,0,6515,6515,0.00
March 31 2017,Benton,WA,Passenger,141,144,285,127944,128229,0.22
March 31 2017,Benton,WA,Truck,0,0,0,39854,39854,0.00
March 31 2017,Chelan,WA,Truck,0,0,0,21226,21226,0.00
March 31 2017,Chelan,WA,Passenger,55,30,85,51688,51773,0.16
March 31 2017,Clallam,WA,Truck,0,0,0,21042,21042,0.00
March 31 2017,Clallam,WA,Passenger,79,70,149,48070,48219,0.31
March 31 2017,Clark,WA,Truck,0,0,0,77575,77575,0.00
March 31 2017,Clark,WA,Passenger,721,478,1199,298274,299473,0.40
March 31 2017,Columbia,WA,Truck,0,0,0,1529,1529,0.00
March 31 2017,Columbia,WA,Passenger,0,1,1,2356,2357,0.04
March 31 2017,Cowlitz,WA,Passenger,52,56,108,69300,69408,0.16
March 31 2017,Cowlitz,WA,Truck,0,0,0,27911,27911,0.00
March 31 2017,Douglas,WA,Truck,0,0,0,11440,11440,0.00
March 31 2017,Douglas,WA,Passenger,29,19,48,26588,26636,0.18
March 31 2017,Ferry,WA,Truck,0,0,0,3555,3555,0.00
March 31 2017,Ferry,WA,Passenger,2,1,3,4387,4390,0.07
March 31 2017,Franklin,WA,Truck,0,0,0,17957,17957,0.00
March 31 2017,Franklin,WA,Passenger,27,48,75,55315,55390,0.14
March 31 2017,Garfield,WA,Truck,0,0,0,940,940,0.00
March 31 2017,Garfield,WA,Passenger,0,0,0,1283,1283,0.00
March 31 2017,Grant,WA,Passenger,18,25,43,60348,60391,0.07
March 31 2017,Grant,WA,Truck,0,0,0,25048,25048,0.00
March 31 2017,Grays Harbor,WA,Truck,0,0,0,19866,19866,0.00
March 31 2017,Grays Harbor,WA,Passenger,28,30,58,44405,44463,0.13
March 31 2017,Island,WA,Truck,0,0,0,20498,20498,0.00
March 31 2017,Island,WA,Passenger,107,135,242,59603,59845,0.40
March 31 2017,Jefferson,WA,Passenger,95,61,156,23651,23807,0.66
March 31 2017,Jefferson,WA,Truck,0,0,0,9448,9448,0.00
March 31 2017,King,WA,Passenger,9350,4164,13514,1382726,1396240,0.97
March 31 2017,King,WA,Truck,8,1,9,189799,189808,0.00
March 31 2017,Kitsap,WA,Passenger,582,303,885,172504,173389,0.51
March 31 2017,Kitsap,WA,Truck,1,0,1,52334,52335,0.00
March 31 2017,Kittitas,WA,Truck,0,0,0,13426,13426,0.00
March 31 2017,Kittitas,WA,Passenger,17,16,33,27120,27153,0.12
March 31 2017,Klickitat,WA,Truck,0,0,0,7942,7942,0.00
March 31 2017,Klickitat,WA,Passenger,21,25,46,14775,14821,0.31
March 31 2017,Lewis,WA,Truck,0,0,0,24819,24819,0.00
March 31 2017,Lewis,WA,Passenger,46,45,91,55088,55179,0.16
March 31 2017,Lincoln,WA,Passenger,2,5,7,7505,7512,0.09
March 31 2017,Lincoln,WA,Truck,0,0,0,4469,4469,0.00
March 31 2017,Mason,WA,Passenger,52,63,115,42928,43043,0.27
March 31 2017,Mason,WA,Truck,0,0,0,19234,19234,0.00
March 31 2017,Okanogan,WA,Truck,0,0,0,16308,16308,0.00
March 31 2017,Okanogan,WA,Passenger,3,16,19,25640,25659,0.07
March 31 2017,Pacific,WA,Truck,0,0,0,7482,7482,0.00
March 31 2017,Pacific,WA,Passenger,7,9,16,15078,15094,0.11
March 31 2017,Pend Oreille,WA,Truck,0,0,0,5577,5577,0.00
March 31 2017,Pend Oreille,WA,Passenger,1,4,5,9308,9313,0.05
March 31 2017,Pierce,WA,Truck,0,0,0,138203,138203,0.00
March 31 2017,Pierce,WA,Passenger,895,844,1739,526438,528177,0.33
March 31 2017,San Juan,WA,Truck,0,0,0,5587,5587,0.00
March 31 2017,San Juan,WA,Passenger,88,35,123,13420,13543,0.91
March 31 2017,Skagit,WA,Truck,1,0,1,31431,31432,0.00
March 31 2017,Skagit,WA,Passenger,120,107,227,87518,87745,0.26
March 31 2017,Skamania,WA,Passenger,8,8,16,8530,8546,0.19
March 31 2017,Skamania,WA,Truck,0,0,0,3880,3880,0.00
March 31 2017,Snohomish,WA,Passenger,1665,936,2601,513386,515987,0.50
March 31 2017,Snohomish,WA,Truck,1,0,1,122215,122216,0.00
March 31 2017,Spokane,WA,Passenger,237,234,471,295467,295938,0.16
March 31 2017,Spokane,WA,Truck,1,1,2,90274,90276,0.00
March 31 2017,Stevens,WA,Truck,0,0,0,18308,18308,0.00
